,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
75,0.7,0.05,1,1,993,0.9,0.12335194747188863,0.0004110216128951018,0.12402306248176571,0.001970585635577316
76,1.0,0.01,2,4,26,0.8,0.20128893287726682,0.00015800706887299958,0.20130851674124234,0.0004343252571486468
77,0.7,0.1,5,2,547,0.8,0.12205913145803474,0.0002953947339419564,0.12481766846808968,0.0017484594535153795
78,0.6,0.05,1,1,420,0.7,0.12363435415012136,0.00045880842373938505,0.1239694665456526,0.001971368708691682
79,0.9,0.1,4,4,703,0.8,0.12240866560329307,0.0003085365181992227,0.1245693561268199,0.001760232783317806
80,0.8,0.05,1,1,790,0.8,0.12338718333499929,0.0004164003145964474,0.12399086773731952,0.001968602638881241
81,0.8,0.1,2,4,795,1.0,0.12307408290374151,0.00036869302808288553,0.12410619794315507,0.0018859928816621692
82,0.9,0.1,5,1,132,0.7,0.12249279583842787,0.00032384015652577025,0.1243119133403699,0.0017527828284802825
83,0.7,0.05,2,4,468,0.8,0.12322664195692659,0.00039475246627681355,0.1239987497526082,0.0018980708558636534
84,0.9,0.05,4,2,294,0.7,0.12277114982822282,0.000323131382747774,0.12417244316295618,0.001836988730898199
85,0.8,0.05,1,4,345,0.8,0.12365675030416268,0.0004602070812212406,0.12395671663076657,0.0019214081727571579
86,0.7,0.05,4,4,115,0.7,0.12324430020366554,0.00038698125087062495,0.123977894026845,0.0018521377384918703
87,0.9,0.01,1,1,314,0.8,0.13057676596194906,0.0004759322471120615,0.13064334497267643,0.001641578105225009
88,0.6,0.05,2,2,105,0.9,0.12478090735826393,0.0004656516089650906,0.12499115835147359,0.0018540869509195148
89,0.8,0.1,3,3,978,1.0,0.12275472561739502,0.00033021858133610384,0.12424520563802521,0.001779262067051487
90,1.0,0.05,4,2,156,0.8,0.12293380834443257,0.0003417381135027617,0.12398027462607808,0.0018016636270886792
91,0.6,0.05,5,3,8,0.7,0.20090796200021663,0.005304660850628978,0.200901344229599,0.005967809351835694
92,0.6,0.01,5,1,769,1.0,0.12355375627834271,0.0003979131159894789,0.12429538967188777,0.0019836069914103173
93,1.0,0.1,5,3,501,1.0,0.12237998814013742,0.0003108407175339777,0.12453262130352004,0.0017593822000201943
94,1.0,0.05,5,1,560,0.7,0.12201521335993992,0.00030490038979711937,0.12480358399221136,0.0017364511464161134
95,0.7,0.1,2,4,854,1.0,0.12306498389536877,0.0003658607287474911,0.12411424423045336,0.001882704036993165
96,0.6,0.05,2,1,852,0.7,0.12328324223170639,0.00039923123397159844,0.12415139212173454,0.0019962405242981572
97,0.8,0.05,3,2,271,1.0,0.12304238707181762,0.00034903273652220395,0.12401848007228528,0.0018866482543563657
98,0.8,0.05,2,1,821,1.0,0.1230470188789294,0.00035885261788151966,0.12410026786526036,0.0018963803213920152
99,0.6,0.05,1,1,179,0.8,0.12457811451937681,0.0005139948249388894,0.1247504136727279,0.0018249850563099178
