,m1,m2,m3,m4,selection
92,0,6,22,44,reaction
93,0,14,22,32,reaction
94,0,20,22,38,reaction
95,3,14,22,81,turned
96,8,14,22,37,turned
97,2,12,22,24,turned
98,0,14,22,64,reaction
99,16,17,22,49,turned
100,8,19,22,0,other
101,0,9,22,59,reaction
102,0,14,23,40,balanced
103,11,18,23,27,turned
104,0,15,23,0,other
105,0,10,23,35,reaction
106,0,17,23,49,reaction
107,0,21,23,31,reaction
108,10,22,23,35,turned
109,5,9,23,27,turned
110,0,9,23,79,balanced
111,0,21,23,79,balanced
112,0,13,24,80,reaction
113,0,14,24,26,reaction
114,5,17,24,29,turned
115,0,16,24,50,balanced
116,0,18,24,42,reaction
117,0,7,24,28,balanced
118,7,14,24,46,turned
119,10,15,24,64,turned
120,0,15,24,89,reaction
121,0,7,24,62,balanced
122,0,18,24,44,balanced
123,2,19,24,57,turned
124,11,23,24,62,turned
125,11,20,24,0,other
126,0,13,24,50,reaction
127,0,9,25,46,balanced
128,9,11,25,88,turned
129,5,13,25,28,turned
130,10,22,25,46,turned
131,0,18,25,36,reaction
132,0,7,25,0,other
133,0,10,25,45,balanced
134,0,23,25,55,reaction
135,0,10,25,68,reaction
136,0,19,25,72,reaction
137,8,16,25,65,turned
138,0,18,25,39,reaction
139,11,23,25,43,turned
140,0,6,25,0,other
141,0,16,25,35,balanced
142,0,6,25,32,balanced
143,0,16,25,58,balanced
144,5,14,25,64,turned
145,0,16,25,39,reaction
146,0,14,25,66,balanced
147,2,21,26,68,turned
148,0,21,26,0,other
149,0,24,26,48,balanced
150,0,21,26,34,reaction
151,0,23,26,0,other
152,0,24,26,93,reaction
153,20,24,26,47,turned
154,10,16,26,57,turned
155,0,25,26,65,balanced
156,0,24,26,84,reaction
157,10,22,26,36,turned
158,0,17,26,56,reaction
159,0,13,26,46,balanced
160,0,7,26,61,balanced
161,3,19,26,34,turned
162,2,10,26,50,turned
163,0,23,27,57,balanced
164,0,21,27,90,balanced
165,0,25,27,49,reaction
166,0,21,27,82,reaction
167,4,18,27,87,turned
168,0,9,27,34,reaction
169,15,26,27,52,turned
170,5,12,27,91,turned
171,0,13,27,60,balanced
172,6,17,27,87,turned
173,0,16,27,44,balanced
174,0,21,27,52,balanced
175,1,2,27,76,turned
176,0,3,27,48,balanced
177,0,20,27,0,other
178,0,15,27,53,reaction
179,9,16,27,47,turned
180,1,23,27,0,other
181,0,22,27,56,reaction
182,21,22,27,0,other
183,0,16,27,0,other
184,0,26,27,45,balanced
185,0,19,27,75,reaction
186,0,21,28,49,reaction
187,0,25,28,63,balanced
188,14,17,28,70,turned
189,0,25,28,44,balanced
190,7,16,28,35,turned
191,0,22,28,0,other
192,0,13,28,48,balanced
193,0,23,28,47,reaction
194,14,18,28,66,turned
195,0,25,28,61,reaction
196,0,23,28,94,balanced
197,0,25,28,55,balanced
198,0,17,28,0,other
199,0,20,28,62,reaction
200,0,19,28,44,reaction
201,6,15,28,64,turned
202,0,25,28,37,balanced
203,0,26,28,0,other
204,0,10,28,69,balanced
205,0,11,28,63,balanced
206,0,24,28,44,reaction
207,6,15,28,51,turned
208,0,20,28,46,reaction
209,0,27,28,47,reaction
210,0,24,28,72,reaction
211,0,7,28,86,balanced
212,0,25,28,31,balanced
213,0,6,28,57,balanced
214,0,15,28,0,other
215,0,18,28,58,reaction
216,0,19,28,59,balanced
217,8,21,29,56,turned
218,19,20,29,0,other
219,3,21,29,49,turned
220,1,26,29,35,turned
221,0,20,29,52,balanced
222,0,28,29,0,other
223,0,15,29,42,reaction
224,0,17,29,41,reaction
225,0,13,29,66,balanced
226,0,7,29,36,balanced
227,0,20,29,35,balanced
228,0,20,29,44,reaction
229,0,23,29,57,reaction
230,0,27,29,63,balanced
231,14,17,29,44,turned
232,0,25,29,44,balanced
233,15,22,29,44,turned
234,16,18,29,42,turned
235,0,16,29,48,reaction
236,0,24,30,38,reaction
237,0,24,30,60,balanced
238,0,27,30,38,reaction
239,0,29,30,33,balanced
240,0,25,30,36,balanced
241,17,21,30,0,other
242,0,20,30,37,balanced
243,9,26,30,75,turned
244,10,23,30,50,turned
245,11,25,30,80,turned
246,0,18,30,80,reaction
247,0,15,30,69,reaction
248,17,20,30,87,turned
249,6,23,30,40,turned
250,0,26,30,89,reaction
251,0,12,30,55,reaction
252,0,15,30,62,reaction
253,0,13,30,55,reaction
254,6,18,30,0,other
255,0,27,30,80,balanced
256,3,27,30,36,turned
257,0,16,30,0,other
258,0,27,30,73,balanced
259,22,25,30,74,turned
260,7,27,30,38,turned
261,0,19,30,43,balanced
262,0,21,31,42,balanced
263,0,29,31,84,balanced
264,0,29,31,32,balanced
265,0,18,31,0,other
266,0,18,31,84,reaction
267,5,15,31,34,turned
268,11,20,31,36,turned
269,0,19,31,78,reaction
270,1,24,31,43,turned
271,8,11,31,58,turned
272,14,21,31,46,turned
273,0,10,31,60,balanced
274,0,28,31,86,reaction
275,0,24,31,56,balanced
276,0,28,31,0,other
277,6,13,31,72,turned
278,0,24,31,35,reaction
279,0,30,31,55,balanced
280,0,30,31,37,reaction
281,0,27,31,0,other
282,3,28,31,70,turned
283,0,17,32,38,reaction
284,0,24,32,52,balanced
285,0,21,32,73,balanced
286,0,20,32,63,balanced
287,0,30,32,84,balanced
288,0,30,32,89,reaction
289,0,23,32,43,balanced
290,0,31,32,52,balanced
291,11,27,32,57,turned
292,0,18,32,80,balanced
293,0,27,32,47,balanced
294,0,16,32,44,balanced
295,0,16,32,87,reaction
296,0,16,32,85,reaction
297,0,31,32,87,reaction
298,8,16,32,37,turned
299,0,27,32,78,balanced
300,0,29,32,53,balanced
301,19,27,33,90,turned
302,1,31,33,58,turned
303,0,12,33,85,balanced
304,7,18,33,43,turned
305,7,27,33,45,turned
306,0,30,33,45,balanced
307,0,11,33,38,reaction
308,0,26,33,54,reaction
309,0,15,33,51,balanced
310,3,27,33,47,turned
311,3,22,33,49,turned
312,0,32,33,0,other
313,11,25,33,35,turned
314,0,29,33,37,balanced
315,13,15,33,80,turned
316,0,19,33,38,reaction
317,0,32,34,0,other
318,0,5,34,46,balanced
319,0,8,34,71,reaction
320,0,30,34,46,reaction
321,0,30,34,77,balanced
322,11,13,34,85,turned
323,0,19,34,0,other
324,0,16,34,46,balanced
325,0,7,34,66,reaction
326,0,30,0,33,reaction
327,0,17,34,39,balanced
328,1,20,34,57,turned
329,0,30,34,43,balanced
330,0,32,34,90,reaction
331,0,18,34,38,balanced
332,16,23,34,56,turned
333,1,3,34,38,turned
334,17,21,34,42,turned
335,0,22,35,48,reaction
336,0,31,35,48,balanced
337,0,15,35,91,reaction
338,7,29,35,69,turned
339,21,29,35,53,turned
340,0,21,35,58,reaction
341,8,26,35,73,turned
342,0,10,35,0,other
343,0,12,35,0,other
344,19,20,35,50,turned
345,29,30,35,0,other
346,0,34,35,85,reaction
347,0,8,35,66,balanced
348,11,27,35,53,turned
349,0,15,35,38,reaction
350,4,23,35,0,other
351,0,24,35,56,reaction
352,0,13,35,55,reaction
353,0,30,35,45,balanced
354,0,27,36,57,reaction
355,17,27,36,41,turned
356,4,20,36,71,turned
357,12,31,36,38,turned
358,0,26,36,38,balanced
359,0,18,36,87,reaction
360,0,33,36,58,reaction
361,0,21,36,70,balanced
362,10,33,36,50,turned
363,0,28,36,90,balanced
364,0,20,36,73,reaction
365,0,17,36,46,reaction
366,4,9,36,67,turned
367,0,11,36,88,reaction
368,14,21,36,40,turned
369,11,14,36,0,other
370,0,12,36,58,reaction
371,27,30,36,46,turned
372,0,6,36,53,balanced
373,9,29,36,45,turned
374,32,34,36,45,turned
375,29,34,36,51,turned
376,0,31,36,46,balanced
377,0,32,36,38,reaction
378,0,16,36,66,reaction
379,0,22,36,71,balanced
380,0,9,36,0,other
381,0,30,36,42,balanced
382,0,16,36,86,reaction
383,0,17,36,43,reaction
384,0,16,36,47,reaction
385,0,9,36,0,other
386,0,28,37,56,reaction
387,0,32,37,67,reaction
388,0,26,37,87,balanced
389,21,23,37,90,turned
390,0,16,37,52,balanced
391,0,23,37,56,reaction
392,0,22,37,80,reaction
393,2,21,37,40,turned
394,19,23,37,53,turned
395,13,31,37,83,turned
396,4,27,37,49,turned
397,0,34,37,53,reaction
398,0,31,37,0,other
399,0,34,37,50,reaction
400,25,31,37,46,turned
401,0,30,37,92,balanced
402,0,30,37,62,reaction
403,0,17,37,75,reaction
404,0,18,37,39,balanced
405,7,35,37,56,turned
406,0,30,37,88,balanced
407,0,35,37,52,reaction
408,0,26,38,46,reaction
409,0,32,38,54,balanced
410,0,32,38,80,reaction
411,0,11,38,45,reaction
412,6,25,38,81,turned
413,0,20,38,81,reaction
414,3,29,38,58,turned
415,0,37,38,74,reaction
416,9,32,38,39,turned
417,0,31,38,78,reaction
418,3,18,38,64,turned
419,0,33,38,49,reaction
420,0,30,38,91,balanced
421,0,19,38,48,balanced
422,0,30,38,74,balanced
423,0,32,38,42,reaction
424,19,23,38,51,turned
425,0,33,38,63,reaction
426,0,33,38,55,reaction
427,0,16,38,0,other
428,0,0,38,41,other
429,0,15,38,51,reaction
430,27,34,38,43,turned
431,0,28,38,49,reaction
432,22,28,38,76,turned
433,0,10,38,89,reaction
434,24,37,38,0,other
435,0,6,38,61,balanced
436,0,32,38,62,balanced
437,0,37,38,53,balanced
438,0,29,38,0,other
439,0,32,38,57,balanced
440,0,8,38,45,reaction
441,30,35,38,0,other
442,24,34,38,49,turned
443,0,18,38,48,balanced
444,18,22,39,85,turned
445,0,36,39,63,reaction
446,0,37,39,44,reaction
447,3,27,39,63,turned
448,28,36,39,65,turned
449,12,13,39,64,turned
450,15,28,39,47,turned
451,0,33,39,62,reaction
452,0,18,39,92,balanced
453,17,35,39,60,turned
454,4,27,39,0,other
455,0,29,39,0,other
456,0,37,39,73,balanced
457,0,28,39,57,balanced
458,0,24,39,77,reaction
459,0,36,39,66,balanced
460,1,8,39,70,turned
461,1,12,39,61,turned
462,0,19,39,81,balanced
463,19,35,39,86,turned
464,14,26,39,52,turned
465,0,32,39,69,balanced
466,27,35,39,43,turned
467,0,8,39,0,other
468,0,26,39,92,balanced
469,0,37,39,92,reaction
470,13,31,39,52,turned
471,0,37,39,59,reaction
472,21,25,39,59,turned
473,7,9,39,75,turned
474,0,37,39,42,reaction
475,0,28,39,64,reaction
476,0,30,40,78,reaction
477,30,36,40,49,turned
478,0,22,40,0,other
479,33,38,40,47,turned
480,0,33,40,82,balanced
481,0,24,40,0,other
482,15,23,40,79,turned
483,0,84,40,0,other
484,0,37,40,0,other
485,3,13,40,77,turned
486,2,24,40,53,turned
487,0,36,40,0,other
488,0,21,40,92,balanced
489,0,37,40,72,balanced
490,0,34,40,51,reaction
491,0,21,40,52,reaction
492,0,27,40,42,balanced
493,0,22,40,84,reaction
494,0,28,40,77,balanced
495,0,22,40,51,reaction
496,23,37,40,62,turned
497,0,31,40,44,balanced
498,0,25,40,56,balanced
499,0,22,40,76,reaction
500,3,13,40,82,turned
501,19,30,40,57,turned
502,0,22,40,68,balanced
503,5,25,40,51,turned
504,16,20,40,81,turned
505,1,12,41,88,turned
506,12,32,41,0,other
507,0,10,41,0,other
508,0,13,41,80,balanced
509,0,33,41,76,reaction
510,0,25,41,60,reaction
511,0,29,41,51,reaction
512,10,24,41,0,other
513,5,7,41,0,other
514,0,27,41,61,balanced
515,27,39,41,49,turned
516,0,22,41,0,other
517,0,29,41,43,reaction
518,0,36,41,46,reaction
519,7,16,41,64,turned
520,0,39,41,61,reaction
521,4,17,41,67,turned
522,11,19,41,49,turned
523,23,28,41,0,other
524,0,39,41,73,reaction
525,15,35,41,42,turned
526,0,27,41,77,reaction
527,0,14,42,69,balanced
528,0,9,42,68,reaction
529,0,35,42,78,reaction
530,0,22,42,58,balanced
531,0,41,42,65,balanced
532,0,4,42,44,balanced
533,45,39,42,0,other
534,0,34,42,58,reaction
535,15,17,42,0,other
536,0,14,42,0,other
537,0,41,42,66,reaction
538,0,23,42,0,other
539,0,9,42,79,balanced
540,0,13,42,45,balanced
541,0,35,42,51,reaction
542,0,39,42,60,balanced
543,35,38,42,61,turned
544,15,25,42,0,other
545,1,38,42,45,turned
546,0,35,42,86,reaction
547,0,20,42,74,reaction
548,0,37,42,44,balanced
549,0,32,42,55,reaction
550,1,9,42,63,turned
551,1,16,42,68,turned
552,13,21,42,51,turned
553,0,22,42,61,reaction
554,0,12,42,0,other
555,0,31,42,69,reaction
556,0,16,42,90,balanced
557,0,27,42,0,other
558,0,24,42,72,balanced
559,0,13,42,0,other
560,0,13,43,51,reaction
561,0,22,43,53,reaction
562,0,41,43,59,balanced
563,0,22,43,59,balanced
564,0,17,43,84,reaction
565,0,30,43,49,balanced
566,0,37,43,72,balanced
567,0,33,43,0,other
568,0,37,43,45,reaction
569,0,19,43,70,balanced
570,0,15,43,47,balanced
571,0,16,43,84,reaction
572,18,38,43,47,turned
573,0,29,43,44,balanced
574,0,31,43,47,balanced
575,0,15,43,74,reaction
576,4,8,43,79,turned
577,16,33,43,59,turned
578,0,18,43,80,reaction
579,23,38,43,54,turned
580,0,10,43,45,reaction
581,0,38,43,81,balanced
582,0,34,43,74,reaction
583,0,27,43,88,balanced
584,0,32,43,56,balanced
585,17,23,43,61,turned
586,34,35,43,54,turned
587,0,37,43,46,balanced
588,0,25,43,90,balanced
589,33,41,43,71,turned
590,0,20,43,0,other
591,0,25,44,79,balanced
592,0,30,44,77,balanced
593,0,20,44,50,balanced
594,10,17,44,57,turned
595,0,35,44,64,balanced
596,9,33,44,77,turned
597,0,15,44,46,reaction
598,0,43,44,51,reaction
599,9,27,44,0,other
600,0,7,44,83,balanced
601,0,27,44,68,reaction
602,0,26,44,58,balanced
603,5,13,44,48,turned
604,0,20,44,62,balanced
605,13,27,44,69,turned
606,0,34,44,74,balanced
607,15,32,44,68,turned
608,0,27,44,46,balanced
609,0,41,44,46,balanced
610,0,35,44,55,reaction
611,0,35,44,81,balanced
612,0,21,44,65,reaction
613,14,23,44,45,turned
614,0,15,44,81,balanced
615,0,37,44,91,balanced
616,0,24,44,75,reaction
617,2,19,44,46,turned
618,0,35,44,76,reaction
619,0,25,44,47,reaction
620,0,21,44,94,reaction
621,0,38,44,70,reaction
622,0,40,44,60,balanced
623,0,9,44,0,other
624,4,19,44,55,turned
625,5,21,44,71,turned
626,15,19,44,93,turned
627,0,38,45,64,balanced
628,24,36,45,90,turned
629,2,4,45,75,turned
630,0,38,45,82,reaction
631,2,19,45,88,turned
632,0,41,45,67,balanced
633,9,42,45,0,other
634,0,33,45,59,reaction
635,0,38,45,0,other
636,0,38,45,53,reaction
637,5,10,45,48,turned
638,0,53,45,0,other
639,38,41,45,58,turned
640,0,21,45,79,balanced
641,31,37,45,76,turned
642,0,27,45,83,reaction
643,0,30,45,67,balanced
644,22,30,45,46,turned
645,11,35,45,74,turned
646,0,42,45,0,other
647,0,38,45,78,reaction
648,0,27,45,61,reaction
649,0,0,45,70,other
650,0,35,45,60,balanced
651,0,26,45,94,balanced
652,0,14,45,50,balanced
653,4,36,45,68,turned
654,0,36,46,49,reaction
655,0,29,46,77,balanced
656,0,28,46,71,balanced
657,0,36,46,77,reaction
658,0,29,46,63,balanced
659,0,38,46,88,reaction
660,2,30,46,81,turned
661,0,40,46,78,balanced
662,0,24,46,0,other
663,18,32,46,50,turned
664,0,36,46,48,balanced
665,3,6,46,50,turned
666,0,31,46,59,balanced
667,0,20,46,67,balanced
668,0,42,46,53,balanced
669,0,17,46,71,balanced
670,0,40,46,59,balanced
671,20,42,46,71,turned
672,0,42,46,66,reaction
673,19,32,46,0,other
674,24,43,46,68,turned
675,0,39,46,85,balanced
676,2,25,46,47,turned
677,0,42,46,49,reaction
678,29,45,46,81,turned
679,0,43,46,47,reaction
680,0,39,46,54,reaction
681,13,40,46,49,turned
682,0,43,46,63,balanced
683,0,30,46,73,balanced
684,0,33,46,0,other
685,12,24,46,70,turned
686,12,25,46,69,turned
687,19,33,46,65,turned
688,5,26,46,55,turned
689,1,9,46,85,turned
690,0,23,46,77,reaction
691,0,43,46,60,balanced
692,26,28,46,85,turned
693,0,39,46,53,reaction
694,0,10,46,51,reaction
695,0,33,46,74,reaction
696,0,35,46,47,balanced
697,11,17,46,64,turned
698,26,32,46,58,turned
699,0,33,46,0,other
700,0,17,46,60,balanced
701,35,41,46,69,turned
702,8,43,46,84,turned
703,0,38,46,64,reaction
704,34,44,46,59,turned
705,0,33,46,59,balanced
706,0,42,46,57,balanced
707,0,38,46,76,balanced
708,0,38,46,63,balanced
709,6,14,46,0,other
710,26,34,47,51,turned
711,0,42,47,67,reaction
712,0,27,47,74,reaction
713,0,22,47,88,balanced
714,22,39,47,57,turned
715,4,13,47,76,turned
716,0,33,47,52,balanced
717,0,45,47,56,reaction
718,0,33,47,73,balanced
719,0,38,47,86,balanced
720,1,26,47,88,turned
721,0,35,47,84,reaction
722,0,40,47,81,reaction
723,0,44,47,80,reaction
724,28,30,47,90,turned
725,0,45,47,73,reaction
726,0,26,47,56,balanced
727,0,8,47,60,reaction
728,0,19,47,66,balanced
729,29,33,47,54,turned
730,0,46,47,73,balanced
731,0,41,47,0,other
732,0,18,47,51,balanced
733,10,16,47,0,other
734,0,35,47,65,reaction
735,0,35,47,0,other
736,3,32,47,0,other
737,0,45,47,76,balanced
738,9,35,47,69,turned
739,0,37,47,50,reaction
740,28,45,47,48,turned
741,0,32,47,86,balanced
742,0,46,47,92,reaction
743,26,46,47,67,turned
744,0,38,47,50,reaction
745,0,37,47,59,balanced
746,0,21,47,54,balanced
747,4,24,47,71,turned
748,1,35,47,53,turned
749,0,38,47,80,balanced
750,0,42,47,74,reaction
751,0,21,47,83,balanced
752,0,43,47,0,other
753,0,26,47,91,reaction
754,0,45,48,80,reaction
755,0,20,48,62,reaction
756,0,13,48,71,balanced
757,9,18,48,85,turned
758,0,40,48,0,other
759,0,18,48,72,reaction
760,37,42,48,56,turned
761,0,32,48,92,reaction
762,0,27,48,89,balanced
763,0,42,48,91,balanced
764,0,0,48,69,other
765,0,10,48,74,balanced
766,0,45,48,49,reaction
767,0,44,48,62,balanced
768,0,39,48,58,reaction
769,0,35,48,63,reaction
770,0,46,48,0,other
771,0,28,48,52,reaction
772,0,39,48,85,reaction
773,0,27,48,59,balanced
774,0,33,48,80,balanced
775,12,15,48,71,turned
776,0,41,48,0,other
777,31,40,48,77,turned
778,9,26,48,56,turned
779,0,23,48,0,other
780,0,41,48,80,balanced
781,13,42,48,72,turned
782,0,32,49,79,balanced
783,0,36,49,59,balanced
784,0,22,49,66,reaction
785,33,46,49,0,other
786,0,40,49,62,balanced
787,0,12,49,53,balanced
788,23,34,49,65,turned
789,0,35,49,85,balanced
790,0,36,49,59,balanced
791,0,17,49,86,reaction
792,12,43,49,0,other
793,0,41,49,85,balanced
794,0,22,49,62,balanced
795,0,44,49,73,reaction
796,0,40,49,78,balanced
797,0,34,49,76,balanced
798,0,19,49,0,other
799,0,27,49,85,balanced
800,0,48,49,59,balanced
801,9,23,49,53,turned
802,0,18,49,79,balanced
803,0,25,49,60,balanced
804,0,32,49,94,reaction
805,0,26,49,63,balanced
806,0,23,49,53,reaction
807,0,34,49,77,balanced
808,19,35,49,0,other
809,0,29,49,80,reaction
810,0,41,49,60,balanced
811,2,47,49,81,turned
812,7,29,49,63,turned
813,31,41,49,74,turned
814,0,30,49,74,reaction
815,30,47,49,75,turned
816,0,33,49,55,balanced
817,0,9,49,81,balanced
818,0,48,49,60,reaction
819,0,41,49,90,balanced
820,0,32,50,84,balanced
821,0,45,50,91,reaction
822,0,19,50,85,balanced
823,36,38,50,68,turned
824,17,47,50,71,turned
825,23,42,50,90,turned
826,0,15,50,95,balanced
827,0,34,50,81,reaction
828,0,33,50,57,reaction
829,0,46,50,72,balanced
830,0,37,50,57,reaction
831,0,26,50,55,reaction
832,0,35,50,55,reaction
833,0,45,50,52,reaction
834,0,24,50,71,reaction
835,24,45,50,63,turned
836,3,19,50,52,turned
837,0,44,50,93,reaction
838,6,45,50,82,turned
839,0,48,50,65,reaction
840,23,47,50,0,other
841,33,41,50,83,turned
842,0,39,50,78,balanced
843,0,49,50,87,reaction
844,39,46,50,78,turned
845,20,44,50,60,turned
846,23,48,50,54,turned
847,0,47,50,52,reaction
848,11,42,50,63,turned
849,39,47,50,67,turned
850,0,42,50,78,balanced
851,0,45,50,73,balanced
852,0,48,50,67,balanced
853,23,37,50,58,turned
854,12,22,50,66,turned
855,0,42,50,86,reaction
856,11,38,51,59,turned
857,0,45,51,68,balanced
858,0,48,51,55,balanced
859,0,22,51,54,reaction
860,0,48,51,65,reaction
861,0,36,51,93,reaction
862,0,0,51,75,other
863,4,33,51,74,turned
864,18,28,51,0,other
865,0,39,51,87,balanced
866,0,15,51,52,reaction
867,0,27,51,63,reaction
868,0,43,51,60,reaction
869,0,38,51,53,reaction
870,0,37,51,73,reaction
871,0,45,51,77,reaction
872,0,14,51,71,balanced
873,8,21,51,69,turned
874,2,11,51,73,turned
875,0,33,51,83,reaction
876,18,30,51,55,turned
877,0,38,51,62,balanced
878,0,38,51,57,reaction
879,0,40,51,62,balanced
880,19,49,51,72,turned
881,22,34,51,55,turned
882,0,17,51,0,other
883,0,29,51,82,reaction
884,38,48,51,81,turned
885,0,26,51,78,reaction
886,0,13,51,82,balanced
887,0,30,51,88,balanced
888,0,34,51,90,balanced
889,0,11,51,72,balanced
890,34,38,51,70,turned
891,0,40,52,79,balanced
892,23,37,52,0,other
893,0,31,52,70,balanced
894,0,39,52,0,other
895,0,20,52,90,balanced
896,40,49,52,66,turned
897,15,43,52,64,turned
898,0,49,52,65,reaction
899,0,19,52,60,reaction
900,0,37,52,0,other
901,0,15,52,85,reaction
902,10,50,52,79,turned
903,13,50,52,60,turned
904,8,38,52,74,turned
905,3,22,52,71,turned
906,0,49,52,61,balanced
907,0,39,52,81,reaction
908,19,49,52,64,turned
909,0,48,52,89,reaction
910,14,43,52,70,turned
911,0,46,52,80,balanced
912,0,26,52,87,reaction
913,38,45,52,77,turned
914,0,35,52,90,reaction
915,8,12,52,64,turned
916,45,47,52,73,turned
917,0,37,52,65,balanced
918,0,41,52,91,reaction
919,0,36,52,88,reaction
920,0,49,52,83,balanced
921,0,19,52,78,reaction
922,35,49,52,55,turned
923,3,47,52,55,turned
924,0,49,52,56,reaction
925,0,45,52,59,reaction
926,38,44,52,77,turned
927,7,30,52,70,turned
928,0,42,53,57,balanced
929,0,46,53,59,balanced
930,0,44,53,55,reaction
931,0,38,53,71,reaction
932,0,33,53,69,reaction
933,11,42,53,93,turned
934,0,49,53,72,reaction
935,0,23,53,71,reaction
936,0,41,53,58,reaction
937,16,30,53,56,reaction
938,0,47,53,80,balanced
939,0,51,53,90,balanced
940,0,51,53,74,reaction
941,0,40,53,89,reaction
942,11,50,53,87,turned
943,14,42,53,66,turned
944,0,41,53,57,reaction
945,0,48,53,71,reaction
946,0,42,53,0,other
947,0,29,53,77,balanced
948,0,45,53,90,balanced
949,45,51,53,78,turned
950,9,19,53,64,turned
951,0,20,53,82,reaction
952,0,50,53,64,reaction
953,0,49,53,61,reaction
954,0,17,53,66,balanced
955,12,16,53,62,turned
956,0,29,53,75,reaction
957,18,47,53,81,turned
958,24,46,53,86,turned
959,0,38,53,54,balanced
960,0,47,53,66,balanced
961,37,49,53,93,turned
962,0,49,53,66,balanced
963,24,51,53,0,other
964,10,45,53,0,other
965,0,14,53,63,balanced
966,0,14,53,69,balanced
967,7,47,53,90,turned
968,8,28,53,0,other
969,5,21,53,72,turned
970,0,44,53,91,balanced
971,0,36,54,60,reaction
972,8,47,54,88,turned
973,0,47,54,56,balanced
974,0,38,54,56,balanced
975,0,42,54,90,reaction
976,0,46,54,81,balanced
977,73,42,54,0,other
978,0,38,54,59,reaction
979,0,37,54,64,reaction
980,0,47,54,75,reaction
981,0,35,54,92,balanced
982,5,10,54,56,turned
983,0,44,54,86,reaction
984,0,31,54,0,other
985,0,51,54,72,balanced
986,26,51,54,59,turned
987,0,32,54,73,reaction
988,9,47,54,60,turned
989,0,47,54,63,reaction
990,23,50,54,0,other
991,6,11,54,78,turned
992,0,37,54,62,reaction
993,20,28,48,83,turned
994,0,45,54,60,balanced
995,5,31,54,78,turned
996,0,48,54,76,reaction
997,0,9,54,0,other
998,0,46,54,86,reaction
999,0,39,54,71,reaction
1000,0,33,54,92,reaction
1001,0,50,54,59,balanced
1002,3,40,54,57,turned
1003,0,43,54,58,reaction
1004,0,42,55,82,reaction
1005,0,9,55,59,balanced
1006,0,51,55,73,reaction
1007,0,49,55,63,reaction
1008,0,44,55,62,balanced
1009,0,44,55,75,balanced
1010,0,52,55,57,reaction
1011,0,33,55,58,reaction
1012,0,44,55,58,balanced
1013,0,37,55,72,reaction
1014,18,20,55,76,turned
1015,0,53,55,60,reaction
1016,0,42,55,81,reaction
1017,10,27,55,0,other
1018,0,45,55,58,balanced
1019,49,52,55,62,turned
1020,8,12,55,93,turned
1021,0,40,55,69,balanced
1022,0,47,55,87,reaction
1023,18,43,55,0,other
1024,0,38,55,80,balanced
1025,0,45,55,81,reaction
1026,38,46,55,0,other
1027,11,23,55,70,turned
1028,0,35,55,81,reaction
1029,0,52,55,59,balanced
1030,0,33,55,67,reaction
1031,19,27,55,65,turned
1032,6,47,55,61,turned
1033,0,40,55,59,reaction
1034,0,34,55,66,balanced
1035,0,46,55,0,other
1036,29,50,55,69,turned
1037,0,32,55,0,other
1038,0,31,55,67,reaction
1039,0,43,55,61,reaction
1040,0,42,55,67,reaction
1041,0,27,55,66,balanced
1042,0,50,55,57,reaction
1043,0,50,55,58,reaction
1044,0,38,55,59,reaction
1045,0,48,55,79,reaction
1046,0,51,55,74,reaction
1047,12,40,55,66,turned
1048,38,41,55,68,turned
1049,3,30,55,85,turned
1050,1,23,55,77,turned
1051,2,25,56,78,turned
1052,0,35,56,68,reaction
1053,27,54,56,59,turned
1054,28,54,56,64,turned
1055,22,52,56,88,turned
1056,0,42,56,83,balanced
1057,33,51,56,91,turned
1058,0,50,56,82,balanced
1059,13,45,56,62,turned
1060,0,14,56,75,reaction
1061,0,40,56,75,balanced
1062,14,51,56,67,turned
1063,8,23,56,67,turned
1064,25,43,56,91,turned
1065,26,33,56,88,turned
1066,5,33,56,83,turned
1067,0,7,56,90,reaction
1068,0,39,56,70,balanced
1069,0,25,56,61,balanced
1070,0,44,56,63,balanced
1071,0,22,56,86,balanced
1072,35,38,56,67,turned
1073,0,41,56,0,other
1074,39,53,56,68,turned
1075,0,30,56,87,reaction
1076,0,50,56,58,balanced
1077,0,42,56,61,balanced
1078,0,32,56,90,reaction
1079,0,51,56,60,balanced
1080,29,52,56,63,turned
1081,6,12,56,77,turned
